entity,example,slot,type,norm,body-josa,WHAT-GEN,WHY,HOW-CURE
NOPAIN,무통,<NOPAIN_FEATURE>,SYMPTOM,감각이 없,에,<BODY_FEATURE> 감각이 느껴지지 않으시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 아무런 감각이 없어진 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 감각이 느껴지지 않는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 감각이 느껴지지 않으시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 아무런 감각이 없어진 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 감각이 느껴지지 않는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 감각이 느껴지지 않으시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 아무런 감각이 없어진 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 감각이 느껴지지 않는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
ITCH,가려움,<ITCH_FEATURE>,SYMPTOM,가려움이 느껴지,에,<BODY_FEATURE> 간지러움이 계속 느껴지시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 간지러움이 느껴지는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 가려움이 느껴지는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 간지러움이 계속 느껴지시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 간지러움이 느껴지는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 가려움이 느껴지는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 간지러움이 계속 느껴지시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 간지러움이 느껴지는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 가려움이 느껴지는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
HOT,화끈거림,<HOT_FEATURE>,SYMPTOM,열감이 느껴지,에,<BODY_FEATURE> 열감이 느껴지시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 발열이 느껴지는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 열감이 느껴지는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 열감이 느껴지시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 발열이 느껴지는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 열감이 느껴지는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 열감이 느껴지시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 발열이 느껴지는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 열감이 느껴지는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
STING,따가움,<STING_FEATURE>,SYMPTOM,따끔거리,<가>,<BODY_FEATURE> 따가움이 느껴지시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 쓰라린 느낌이 나는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 따가운 느낌이 나는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 따가움이 느껴지시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 쓰라린 느낌이 나는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 따가운 느낌이 나는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 따가움이 느껴지시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 쓰라린 느낌이 나는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 따가운 느낌이 나는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLD,한기,<COLD_FEATURE>,SYMPTOM,한기가 느껴지,에,<BODY_FEATURE> 한기가 느껴지시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 시린 느낌이 나는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 냉기가 느껴지는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 한기가 느껴지시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 시린 느낌이 나는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 냉기가 느껴지는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 한기가 느껴지시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 시린 느낌이 나는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 냉기가 느껴지는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
SWEAT,땀,<SWEAT_FEATURE>,SYMPTOM,땀이 나,에,<BODY_FEATURE> 땀이 나시는군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 식은땀이 나는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 땀이 나는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 땀이 나시는군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 식은땀이 나는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 땀이 나는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 땀이 나시는군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 식은땀이 나는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 땀이 나는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
SWOLLEN,부풀다,<SWOLLEN_FEATURE>,SYMPTOM,부풀어 오르,에,<BODY_FEATURE> 퉁퉁 부으셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 부풀어 오르는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 붓는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 퉁퉁 부으셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 부풀어 오르는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 붓는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 퉁퉁 부으셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 부풀어 오르는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 붓는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
DRY,건조하다,<DRY_FEATURE>,SYMPTOM,건조해지,<가>,<BODY_FEATURE> 건조해지셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 트기 시작하는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 갈라지는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 건조해지셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 트기 시작하는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 갈라지는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 건조해지셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 트기 시작하는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 갈라지는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
BLOOD,피가 나다,<BLOOD_FEATURE>,SYMPTOM,피가 나,에,<BODY_FEATURE> 피가 나시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 피가 나는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 출혈이 나는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 피가 나시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 피가 나는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 출혈이 나는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 피가 나시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 피가 나는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 출혈이 나는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
WRINKLE,주름지다,<WRINKLE_FEATURE>,SYMPTOM,주름이 지,에,<BODY_FEATURE> 주름이 지셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 주름이 잡히는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 주름이 생기는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 주름이 지셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 주름이 잡히는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 주름이 생기는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 주름이 지셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 주름이 잡히는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 주름이 생기는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
SOLID,딱딱하다,<SOLID_FEATURE>,SYMPTOM,굳어지,에,<BODY_FEATURE> 단단해지는 증상이 있으시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 딱딱해지는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 굳어지는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 단단해지는 증상이 있으시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 딱딱해지는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 굳어지는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 단단해지는 증상이 있으시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 딱딱해지는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 굳어지는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
HAIR-LOSS,털빠짐,<HAIR-LOSS_FEATURE>,SYMPTOM,털이 빠지,에,<BODY_FEATURE> 털이 많이 빠지셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 털빠짐이 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 탈모 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 털이 많이 빠지셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 털빠짐이 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 탈모 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 털이 많이 빠지셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 털빠짐이 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 탈모 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
CHANGE-COLOR,변색,<CHANGE-COLOR_FEATURE>,SYMPTOM,변색이 진행되,에,<BODY_FEATURE> 변색이 진행되셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 색이 변하는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 색소침착이 생기는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 변색이 진행되셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 색이 변하는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 색소침착이 생기는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 변색이 진행되셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 색이 변하는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 색소침착이 생기는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
GROW-HAIR,털남,<HAIR-GROW_FEATURE>,SYMPTOM,털이 자라,에,<BODY_FEATURE> 털이 많이 자라셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 털이 많이 생기는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 털이 많이 자라는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 털이 많이 자라셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 털이 많이 생기는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 털이 많이 자라는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 털이 많이 자라셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 털이 많이 생기는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 털이 많이 자라는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLOR-BLACK,검정색으로 변함,<COLOR-BLACK_FEATURE>,SYMPTOM,검게 변하,<가>,<BODY_FEATURE> 검게 변하는 증상이 있으시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 까맣게 되는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 까맣게 변하는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 검게 변하는 증상이 있으시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 까맣게 되는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 까맣게 변하는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 검게 변하는 증상이 있으시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 까맣게 되는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 까맣게 변하는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLOR-WHITE,하얀색으로 변함,<COLOR-WHITE_FEATURE>,SYMPTOM,하얗게 변하,<가>,<BODY_FEATURE> 하얗게 변하셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 하얗게 변하는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 희게 변하는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 하얗게 변하셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 하얗게 변하는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 희게 변하는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 하얗게 변하셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 하얗게 변하는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 희게 변하는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLOR-YELLOW,노란색으로 변함,<COLOR-YELLOW_FEATURE>,SYMPTOM,노랗게 변하,<가>,<BODY_FEATURE> 노랗게 변하셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 누렇게 변하는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 노란빛을 띄는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 노랗게 변하셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 누렇게 변하는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 노란빛을 띄는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 노랗게 변하셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 누렇게 변하는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 노란빛을 띄는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
