entity,norm,WHAT-GEN,WHY,WHAT-SYMPTOM,HOW-CURE,link
EPIDERMALCYST,피지 낭종,"감염될 수 있지만 해롭지는 않은 피부의 종창을 말합니다

연령 : 성인들에게 더 흔하다.
성별, 유전, 생활습관 : 특별한 관련 인자가 없다.
#
피지 낭종은 모낭의 염증에 의해 발생하는 부드러운 혹이다. 낭종 안에는 죽은 세포와 피지선에서 나온 기름기 있는 분비물들이 들어 있다. 피지 낭종은 흔히 두피, 얼굴, 몸통과 성기부에 발생하지만 몸의 어느 부위에나 발생할 수 있다. 대개 해롭지는 않으나, 때로 커지거나 혹은 사라질 수도 있다. 세균에 의해 감염되면 낭종에 염증이 생겨 아프고 결국에는 터져버린다.

아무 증상이 없으면 특별히 치료받을 필요도 없다. 그러나 점점 커지거나 아프다면 국소마취를 하고 제거할 수 있다. 낭종의 벽이나 내용물이 완전히 제거되지 않으면 재발할 수 있으므로 낭이 온전히 있는 상태로 제거해야 한다. 감염되면 항생제 치료를 하거나 절제를 해서 배농시켜야 한다.","피지, 기름, 지방 등이 쌓여 피지선의 배출구가 막히면서 생기기도 하고 피부에 생긴 상처가 원인이 되어 발생하는 등 다양한 원인에 의해 생길 수 있습니다.#","피지 낭종은 모낭의 염증에 의해 발생하는 부드러운 혹입니다. 낭종 안에는 죽은 세포와 피지선에서 나온 기름기 있는 분비물들이 들어 있습니다. 피지 낭종은 흔히 두피, 얼굴, 몸통과 성기부에 발생하지만 몸의 어느 부위에나 발생할 수 있습니다. #대개 해롭지는 않으나, 때로 커지거나 혹은 사라질 수도 있다. 세균에 의해 감염되면 낭종에 염증이 생겨 아프고 결국에는 터져버린다.",아무 증상이 없으면 특별히 치료받을 필요도 없습니다. 그러나 점점 커지거나 아프다면 국소마취를 하고 제거할 수 있습니다. 낭종의 벽이나 내용물이 완전히 제거되지 않으면 재발할 수 있으므로 낭이 온전히 있는 상태로 제거해야 합니다. #감염되면 항생제 치료를 하거나 절제를 해서 배농시켜야 한다.,http://www.snuh.org/health/encyclo/view/6/3/18.do
ERYTHEMA-MULTIFORME,다형 홍반,"자주빛 중심과 그 주위를 둘러싼 빨간 반점을 말합니다

연령 : 어린이와 젊은 성인에서 가장 흔하다.
성별 : 남성에게 더 흔하다.
유전, 생활습관 : 주요 위험 요인이 아니다.
#
다형 홍반은 빠르게 발생하여 수일에 걸쳐 점점 커지는 것이 특징이다. 발진은 넓게 퍼지고 종종 손바닥과 발바닥에 생기기도 한다. 또한 구강과 코의 점막에도 생긴다. 이러한 발진은 젊은 사람에게 흔하고 남성에게 더 흔하다. 접촉에 의해 전파되지는 않으며, 대부분은 경증이나 때로는 중증인 경우도 있다.

원인을 알 수 없는 경우가 대부분이다. 그러나 단순포진과 같은 바이러스 감염이나 설폰아마이드와 같은 항생제, 페니토인 등의 약제나 소아마비 백신도 다형 홍반을 유발할 수 있다. 또한 악성종양이나 방사선 치료가 원인일 수도 있다.","원인을 알 수 없는 경우가 대부분입니다. 그러나 단순포진과 같은 바이러스 감염이나 설폰아마이드와 같은 항생제, 페니토인 등의 약제나 소아마비 백신도 다형 홍반을 유발할 수 있습니다. #또한 악성종양이나 방사선 치료가 원인일 수도 있다.","여러 개의 작고 붉은 반점이 전신에 대칭적으로 분포합니다. 반점들은 점점 커져서 표적 모양의 자주색 중심을 가진 반지 모양의 형태를 띱니다. 병변의 중심은 수포가 변할 수 있습니다.

* 가려움증이 생긴다.
* 구강과 코에 통증을 동반한 염증성 병변이 나타난다.
* 발열, 두통, 인후 통증이 나타난다.
* 때때로 설사를 한다.
#
드물지만, 전신의 피부와 점막에 심한 염증성 병변과 궤양이 생길 수 있으며 이때는 생명을 위협하므로 응급 치료가 필요하다.","피부의 상태만 보고도 진단할 수 있습니다. 피부발진이 특정한 약을 복용한 후에 발생했다면 다른 약으로 바꾸어야 합니다. #심한 다형 홍반, 특히 구강에 심한 염증성 병변이 있을 때에는 중환자실에 입원하여 정맥주사, 진통제, 스테로이드제 등을 투여하는 치료가 필요하다. 다형 홍반은 대개 수주 후에 사라지나 재발할 가능성이 있다. 특정 약제가 원인으로 의심되는 경우, 향후 그 약을 다시 복용하지 않도록 한다.",http://www.snuh.org/health/encyclo/view/6/2/8.do
ERYTHEMA-NODOSUM,결절 홍반,"정강이에 생기는 빛나는 적자주색의 종창을 말합니다

연령 : 젊은이들에게 많이 발생한다.
성별 : 여성에게 흔하다.
유전, 생활습관 : 주요 위험 요인이 아니다.
#
결절홍반은 젊은 여성들에게 흔하다. 결핵이나 유육종증과 연관되어 발생할 수 있으며 약물, 특히 일부 항생제의 경우에도 반응성으로 발생한다. 또한 어린이들에겐 연쇄상구균 감염에 의한 인후통과 연관되어 발생하기도 한다. 어떤 경우에는 특별한 이유 없이 발생하기도 한다.","결절홍반은 젊은 여성들에게 흔합니다. 결핵이나 유육종증과 연관되어 발생할 수 있으며 약물, 특히 일부 항생제의 경우에도 반응성으로 발생합니다. #또한 어린이들에겐 연쇄상구균 감염에 의한 인후통과 연관되어 발생하기도 한다. 어떤 경우에는 특별한 이유 없이 발생하기도 한다.","대부분의 경우 결절성 홍반은 관절통, 근육통, 발열과 동반됩니다. 결절은 대개 정강이에 발생하며 때로는 전완부에 발생하는 경우도 있습니다.

* 밝은 자주색 또는 적색을 띠며 반짝거린다.
* 병변의 크기는 대개 지름이 1-15cm 정도 된다.
* 통증이 있다.
#
결절은 대개 몇 주 후면 사라지는데 결절이 있던 자리는 멍든 것처럼 보인다.","진단은 증상과 결절의 형태를 보고 내립니다. 특별한 치료 방법은 없으며 침대에 누워 결절이 사라지기 시작할 때까지 다리를 올리고 있어야 합니다.
#
부기를 줄이기 위해 의사는 비스테로이드 소염제를 사용하거나 때때로 코르티코스테로이드제를 사용할 때도 있다. 또 기저질환을 검사하기 위해 혈액검사나 흉부 X-선 검사를 하기도 한다. 대부분의 환자는 4-8주 후면 회복되지만 20% 정도는 재발한다.",http://www.snuh.org/health/encyclo/view/6/3/15.do
FOLLICULITIS,모낭염,"모낭에 염증이 생겨 작고 노란 농이 차는 병변을 말합니다.

연령 : 성인들에게 흔하다.
성별 : 남성에게 흔하다.
생활습관 : 면도와 머리 뽑는 습관이 위험 요인이다.
유전 : 주요 위험 요인이 아니다.
#
세균에 의한 모낭의 감염을 모낭염이라 불린다. 모낭염은 몸 어디에나 생길 수 있지만 주로 사지나 턱수염이 난 부위에 잘 생긴다. 면도나 털을 뽑는 것은 감염의 위험성을 증가시키며, 특히 흑인의 곱슬머리가 피부로 다시 침투하여 감염을 잘 일으킨다. 국소적 스테로이드제도 모낭염을 유발할 수 있다.

국소 항생제(피부 감염증과 기생충 감염 치료제)로 치료할 수 있다. 급성으로 심한 모낭염이 생겼을 경우에는 경구 항생제가 필요할 수 있다. 모낭염이 퍼지는 것을 막기 위해 비누나 면도기, 타월을 같이 쓰지 않는다.","면도나 털을 뽑는 것은 감염의 위험성을 증가시키며, 특히 흑인의 곱슬머리가 피부로 다시 침투하여 감염을 잘 일으킵니다. #국소적 스테로이드제도 모낭염을 유발할 수 있다.","모낭에 염증이 생겨 작고 노란 농이 차는 병변이며, 모낭염은 몸 어디에나 생길 수 있지만 주로 사지나 턱수염이 난 부위에 잘 생깁니다다.#","국소 항생제(피부 감염증과 기생충 감염 치료제)로 치료할 수 있습니다. 급성으로 심한 모낭염이 생겼을 경우에는 경구 항생제가 필요할 수 있습니다. #모낭염이 퍼지는 것을 막기 위해 비누나 면도기, 타월을 같이 쓰지 않는다",http://www.snuh.org/health/encyclo/view/6/4/3.do
HEAT-RASH,땀띠,"더운 환경에서 발생하는, 가려움을 동반하는 다발성 피부 발진을 말합니다

연령 : 어린이에게 흔하다.
생활습관 : 과체중과 덥고 습한 기후가 위험 요인이다.
성별, 유전 : 주요 위험 요인이 아니다.
#
흔히 더운 환경에서 나타나는, 매우 가려운 피부 발진이다. 세균과 죽은 세포에 의해 땀샘이 막히고 염증이 유발되면서 발생한다. 발진은 따끔거리는 증상이 동반되면서 홍반성의 반이나 수포로 나타난다. 땀띠가 잘 생기는 부위는 손, 발, 가슴이다. 과체중인 사람에게 많이 나타나며 어른보다는 어린이들에게 더 많이 생긴다. 어른에게 나타날 때는 발진이 얼굴, 몸통, 솜털이 난 부위에 주로 발생한다.

발진은 며칠 안에 저절로 사라진다. 천연 섬유로 만든 헐렁한 옷을 입거나 솜털을 제거해주면 치유 기간을 단축시킬 수 있다. 발진이 지속되는 경우에는 국소적 스테로이드제를 발라주는 것이 도움이 되지만 얼굴에는 되도록 사용하지 않아야 하며 의사의 지시에 따르는 것이 좋다.","흔히 더운 환경에서 나타나는, 매우 가려운 피부 발진입니다. 세균과 죽은 세포에 의해 땀샘이 막히고 염증이 유발되면서 발생합니다.#","발진은 따끔거리는 증상이 동반되면서 홍반성의 반이나 수포로 나타납니다. 땀띠가 잘 생기는 부위는 손, 발, 가슴입니다. #과체중인 사람에게 많이 나타나며 어른보다는 어린이들에게 더 많이 생긴다. 어른에게 나타날 때는 발진이 얼굴, 몸통, 솜털이 난 부위에 주로 발생한다.
",발진은 며칠 안에 저절로 사라집니다. 천연 섬유로 만든 헐렁한 옷을 입거나 솜털을 제거해주면 치유 기간을 단축시킬 수 있습니다. #발진이 지속되는 경우에는 국소적 스테로이드제를 발라주는 것이 도움이 되지만 얼굴에는 되도록 사용하지 않아야 하며 의사의 지시에 따르는 것이 좋다.,http://www.snuh.org/health/encyclo/view/6/3/3.do
HERPES,단순포진,"바이러스에 의해 입 주위 등에 작은 수포가 생기는 것을 말합니다.

생활습관 : 차가운 바람, 일광 화상, 그리고 스트레스가 위험 요인이다.
연령, 성별, 유전 : 주요 위험 요인이 아니다.
#
단순포진은 제1형 헤르페스 바이러스에 의해 유발되는 것으로, 통증을 동반하는 수포들이 무리지어 생긴다. 대부분의 사람들은 성인이 되기 전에 적어도 한번은 감염되지만 잘 알지 못하고 지나치는 수가 많다. 이후 바이러스가 신경절에 잠복해 있다가 재활성화되어 단순포진이 나타나기 시작한다. 유발인자는 차가운 바람, 일광 화상, 피로, 스트레스, 감기, 생리, 발열 등이다.","유발인자는 차가운 바람, 일광 화상, 피로, 스트레스, 감기, 생리, 발열 등입니다.#","대개는 입술 근처에 생깁니다.

* 병변 부위가 따끔거리고 아프다.
* 통증이 있는 물집들이 무리지어 나타나며 주위 피부가 가려워지기 시작한다.
* 물집들은 터지고 딱지가 앉는다.
* 대개 물집은 10-14일 사이에 사라진다.
#
재발을 하면 얼굴 같은 부위에 나타난다.","아사이클러버와 같은 항바이러스 크림을 증상이 나타나자마자 즉시 발라주면 발병을 막을 수도 있습니다. 간혹 경구용 항바이러스제를 복용해야 할 때도 있습니다다. 그러나 바이러스는 몸속에 계속 잠복해 있다가 다시 재발할 수 있습니다.#

만약 단순포진이 자주 재발한다면 유발 요인 즉 차가운 바람, 일광 화상 등을 피해야 한다. 바이러스가 전파되는 것을 막으려면 물집을 만지지 말아야 한다. 또 물집이 있을 때는 키스를 피한다.",http://www.snuh.org/health/encyclo/view/6/4/8.do
HYPERHYDROSIS,다한증,"국소적 혹은 전신적으로 발생하는 과다한 땀 분비되는 것을 말합니다.

연령 : 15-30세에 많이 나타난다.
유전 : 때로 가족력을 보인다.
성별, 생활, 습관 : 주요 위험 요인이 아니다.
#
정상에 비해 땀이 자주 많이 분비되는 것을 다한증이라고 한다. 대개 사춘기 때 시작되고 30세경이면 사라진다. 환자의 절반 정도가 가족력이 있어 유전 요인이 관여한다고 알려져 있다. 때로 갑상선 기능 항진증이나 당뇨병 같은 내분비계 이상 때문에 나타날 수 있다. 일부에서는 스트레스가 다한증을 유발하는 경우도 한다. 다한증은 국소적으로 손바닥, 발바닥, 겨드랑이, 사타구니, 이마 등에도 나타날 수 있으며 불쾌한 냄새를 동반한다.",환자의 절반 정도가 가족력이 있어 유전 요인이 관여한다고 알려져 있습니다. 때로 갑상선 기능 항진증이나 당뇨병 같은 내분비계 이상 때문에 나타날 수 있습니다. #일부에서는 스트레스가 다한증을 유발하는 경우도 한다.,"정상에 비해 땀이 자주 많이 분비되는 것을 다한증이라고 합니다. 다한증은 국소적으로 손바닥, 발바닥, 겨드랑이, 사타구니, 이마 등에도 나타날 수 있으며 불쾌한 냄새를 동반합니다.#","규칙적으로 땀을 씻어내고, 땀을 잘 흡수하는 천연 섬유로 만들어진 편안하고 헐렁한 옷을 입어야 합니다. 겨드랑이의 다한증은 땀을 억제하는 약이 도움이 될 수 있습니다. 불안증이 동반된 경우에는 긴장완화 운동이 도움이 됩니다.
#
약물 치료로는 땀샘을 억제하는 알루미늄 클로라이드를 발라주면 효과를 볼 수 있다. 겨드랑이 다한증의 경우 다른 방법으로 효과가 없을 때는 땀 분비를 조절하는 교감신경 중추를 수술로 제거해준다.",http://www.snuh.org/health/encyclo/view/6/3/4.do
HYPERTRICHOSIS,다모증,"정상적으로는 모발이 자라지 않는 부위에 과다하게 모발이 자라는 질환을 말합니다

연령 : 대개 사춘기 이후에 발생하고 나이가 많을수록 증가한다.
성별 : 여성에게 더 흔하다.
유전 : 때로 가족력을 보인다.
생활습관 : 주요 위험 요인이 아니다.
#
과도한 모발 증식에는 조모증과 다모증, 두 가지 형태가 있다. 조모증은 여성에게만 발생하며 주로 얼굴이나 몸통, 사지에 모발이 과도하게 자란다. 60세 이상의 여성에게 많이 나타나며 지중해 지역이나 아시아, 히스패닉계나 중동 지역에서 흔하다. 다모증은 남성, 여성 모두에게 발생할 수 있다. 이것은 신체 어느 부위에서나 생길 수 있으며 정상적으로 모발이 없는 부위에서도 발생할 수 있다.","대개 폐경기 이후의 여성들에게 나타나는 가벼운 조모증은 정상이지만, 다낭성 난소 증후군 같은 질병처럼 남성 호르몬이 과다하게 분비될 경우에도 발생할 수 있습니다(남성화). #다모증은 신경성 식욕부진이나 면역억제제나 고혈압 치료제의 부작용으로도 나타난다.",정상적으로는 모발이 자라지 않는 부위에 과다하게 모발이 자라는 증상을 보입니다#,"젊은 여성인 경우에는 혈액검사를 통해 남성 호르몬을 측정해본 후 결과에 따라 원인질환을 치료해야 합니다. 만약 약물 부작용으로 인한 것이라면 약을 끊는 것이 좋으며, 이때는 면도를 하거나 제모용 크림을 사용합니다. 전기 융해술로 영구적으로 제거할 수 있지만 아주 천천히 진행되기 때문에 환자가 불편함을 느낄 수 있습니다.#",http://www.snuh.org/health/encyclo/view/6/6/4.do
IMPETIGO,농가진,"박테리아 감염에 의해 발생하는 피부의 수포와 가피를 말합니다

연령 : 어린이에게 흔하다. 성별, 유전, 생활습관 : 주요 위험 요인이 아니다.
#
농가진은 상처 부위나 습진 부위, 혹은 동상 부위 등으로 세균이 들어가서 발생한다. 전염력이 매우 높기 때문에 신체적 접촉에 의해 퍼지며 어린이들에게 흔하다.","농가진은 상처 부위나 습진 부위, 혹은 동상 부위 등으로 세균이 들어가서 발생합니다. 전염력이 매우 높기 때문에 신체적 접촉에 의해 퍼지며 어린이들에게 흔합니다.#","농가진은 신체 어느 부위에나 생길 수 있으나 주로 얼굴, 특히 코나 입 주위에 흔히 발생합니다. 하루나 이틀에 걸쳐 다음과 같은 증상이 생깁니다.

* 피부가 붉어지며 작은 물집이 생긴다.
* 물집이 터지면 노란색 액체가 나온다.
* 물집 아래 피부는 붉어지고 분비물이 흘러나온다.
* 물집이 마르면 딱지가 앉으면서 가렵다.
#",의사는 국소 항생제(피부의 감염증과 기생충 치료제)나 경구용 항생제를 처방합니다. 딱지가 앉은 부위를 따뜻한 소금물에 담그면 딱지를 제거하거나 가려움증을 줄이는 데 도움이 됩니다. #치료를 하면 농가진은 수일 내로 없어진다. 다른 부위로 퍼지는 것을 막으려면 손을 자주 씻고 수건을 따로 사용해야 한다. 농가진을 앓는 학생은 학교를 쉬도록 한다.,http://www.snuh.org/health/encyclo/view/6/4/2.do
INGROWING-NAIL,내향 발톱,"발톱 주위로 발톱이 파고드는 아픈 병변을 말합니다

연령 : 십대와 젊은이들에게 흔하다.
성별 : 남성에게 흔하다.
생활습관 : 꽉 끼고 잘 맞지 않는 신발이 위험 요인이다.
유전 : 주요 위험 요인이 아니다.
#
내향 발톱은 발톱 주위 피부의 한쪽 면이나 양쪽 면을 파고들면서 염증과 감염을 일으킨다. 대부분 엄지발가락에 발생하며 잘못 자른 발톱에 잘 맞지 않는 신발을 신을 경우에 발생한다. 때로 손상을 입은 주변 피부가 지나치게 많이 성장하여 발톱을 둘러싸기도 한다. 발 관리를 잘못하면 감염의 위험성이 높아진다.",꽉 끼고 잘 맞지 않는 신발이 주 위험 요인입니다.#,"다음과 같은 증상이 나타날 수 있습니다.

* 발톱 주변에 통증, 홍반과 종창이 나타난다.
* 조갑 주위에 농, 혈액, 액체가 배어나온다.
#
발가락이 감염될 위험성이 있으므로 내향하고 있는 발톱이 생기면 의사에게 진찰을 받아야 한다.","진통제를 먹거나 더운 소금물에 발을 담그면 통증을 줄일 수 있습니다. 건조한 소독 거즈로 상처받은 부위를 보호해야 한다. 만약 호전되지 않으면 의사에게 진찰을 받아야 합니다.#

감염이 있으면 경구용 항생제나 국소 항생제 도포를 시행한다. 내향 발톱이 재발되는 것을 막기 위해서는 발을 청결히해야 하며 잘 맞는 신발을 신는다. 발톱은 곡선보다는 직선으로 깎아야 피부로 자라는 것을 막을 수 있다. 만약 재발한다면 발톱 전부 또는 일부분을 제거한다.",http://www.snuh.org/health/encyclo/view/6/6/8.do
KELOID,켈로이드,"상처받은 부위의 흉터 조직이 단단하게 변한 것을 말합니다

유전 : 흑인들에게 흔하다. 때로 가족력을 보인다.
연령, 성별, 생활 습관 : 주요 위험 요인이 아니다.
#
켈로이드는 흉터 조직이 지나치게 많이 성장함에 따라 단단하고 불규칙하게 변하는 것이다. 보통 피부색이 밝은 경우에는 매끈하면서 빛나는 분홍색으로 보이고, 피부색이 검을 경우에는 갈색을 띤다. 이는 대부분 상처를 치유하는 과정에서 콜라겐이 지나치게 많이 생산되기 때문이다. 흑인들에게 흔하며 가족력이 있다.

켈로이드가 잘 생기는 사람은 화상, 절개, 여드름, 문신, 작은 수술, 귀고리, 벌레에게 물렸을 때 등 어떤 식으로든 피부가 손상된 후에는 생기는 경향이 있다. 드물게는 저절로 발생하기도 한다. 신체 어느 곳에서도 생길 수 있지만 대개 가슴, 어깨, 귓볼 등에 흔하다.","원인은 대부분 상처를 치유하는 과정에서 콜라겐이 지나치게 많이 생산되기 때문입니다. 흑인들에게 흔하며 가족력이 있다. 켈로이드가 잘 생기는 사람은 화상, 절개, 여드름, 문신, 작은 수술, 귀고리, 벌레에게 물렸을 때 등 어떤 식으로든 피부가 손상된 후에는 생기는 경향이 있습니다. #드물게는 저절로 발생하기도 한다. 신체 어느 곳에서도 생길 수 있지만 대개 가슴, 어깨, 귓볼 등에 흔하다.",상처받은 부위의 흉터 조직이 단단하게 변하는 증상을 보입니다.#,병변 부위에 코르티코스테로이드를 국소 주사하거나 스테로이드 외용제가 포함된 테이프 등을 처방합니다. #치료를 하더라도 대개는 1년 정도 지나야 병변이 없어진다. 외과적 절제나 레이저 치료 후에 또다른 켈로이드가 생길 수 있다.,http://www.snuh.org/health/encyclo/view/6/3/20.do
LEG-ULCERS,하지 궤양,"하지에 지속적으로 생기는 개방성 욕창을 말합니다.

연령 : 노인들에게 흔하다.
생활습관 : 운동을 하기 힘든 사람이나 침대에 누워 있는 사람에게 흔하다.
성별, 유전 : 주요 위험 요인이 아니다.
#
하지 궤양은 혈액 순환이 원활하게 이루어지지 못해서 발생하는 것이다. 개방성 욕창은 저절로 혹은 손톱의 긁힘 같은 사소한 상처에 의해서도 발생하며, 궤양은 얕으면서 분홍색 빛을 띤다. 주위 피부에 종창이 생길 수도 있다. 주로 혈액 순환이 원활하지 않거나 거동이 불편한 노인들에게 흔하다.",하지 궤양의 90%는 정맥 궤양으로 정맥을 통한 혈액 순환이 원활하지 않아서 생깁니다. 하지에 혈액을 공급하는 동맥을 통한 혈액 순환이 원활하지 않아 생긴다.#,정맥류가 있는 사람에게 흔하며 주로 발목에 생깁니다. 주위 피부는 자주색 혹은 갈색을 띠며 인설이 있습니다. 당뇨병 환자나 겸상 적혈구증 환자에 흔합니다. #주로 발에 생기며 주위 피부는 창백하고 얇다. 궤양의 징후가 보이면 반드시 의사에게 상의해야 한다. 궤양에 감염이 생기면 주위 피부까지 퍼져 봉와직염으로 발전할 수 있다.,"병변 부위의 혈액 순환 상태를 알아보기 위해 도플러 초음파를 시행합니다. 궤양은 정기적으로 소독해 감염을 막고 종창을 줄이며, 혈액 순환을 향상시키기 위해 탄력 붕대로 단단히 감아야 합니다. 탄력스타킹을 신고 정기적으로 운동을 하며 쉴 때는 다리를 올려놓는 것이 좋습니다. #동맥 궤양인 경우에는 수술이 필요하다.",http://www.snuh.org/health/encyclo/view/6/3/23.do
LICHEN-PLANUS,편평 태선,"가려움증을 동반하며, 반짝거리는 분홍 또는 자줏빛의 피부 병변이 편평하게 도드라져 올라옵니다.

연령 : 30세 이후에 더 흔하다.
생활습관 : 스트레스가 위험성을 증가시킬 수 있다.
성별, 유전 : 주요 위험 요인이 아니다.
#
편평 태선에서 보이는 피부 병변은 가려움증을 동반하며, 반짝거리는 분홍 또는 자줏빛을 띠며 편평하게 도드라져 올라와 있다. 이러한 병변들이 집단적으로 뭉쳐서 보인다. 특별한 이유가 없는 경우도 있으나, 설폰아마이드와 같은 항생제 복용 후에 발생하기도 한다. 편평 태선은 스트레스와 연관이 있고 30세 이후에 더 흔하다.","특별한 이유가 없는 경우도 있으나, 설폰아마이드와 같은 항생제 복용 후에 발생하기도 합니다. #편평 태선은 스트레스와 연관이 있고 30세 이후에 더 흔하다.","등의 아랫부분과 손목의 안쪽, 전완부(팔뚝 부위), 발목에 발진이 발생할 수 있습니다. 여러 곳에 갑자기 발생하며, 때로는 수개월에 걸쳐 서서히 퍼지기도 합니다.

* 반짝거리는 분홍 또는 자주빛의 피부 병변들이 편평하게 도드라져 올라오는데,
  집단적으로 뭉쳐서 보인다.
* 심한 가려움증이 나타나는데, 특히 밤에 더 심하다.
#
편평 태선은 손톱과 두피에도 발생할 수 있다. 손톱에 발생하면 골이 길게 패이고 떨어져나갈 수도 있다. 두피에 발생하면 두피에 반흔이 생기면서 부분적인 탈모가 온다. 긁어서 생긴 피부의 손상 부위에도 발생할 수 있다. 구강에 발생하는 유형도 있다.","겉모양만으로 진단이 분명치 않을 때는 피부조직 검사를 합니다. 가려움증을 없애기 위해 강력한 국소적 스테로이드제를 처방하거나 경구 항히스타민제를 복용할 수도 있습니다. #발진이 넓게 퍼지고 손톱 또는 두피에 발생한 경우에는 경구용 스테로이드제가 필요하다. 특정 약제에 의한 부작용인 것으로 의심되면, 다른 약으로 바꾸어야 한다. 편평 태선은 대개 12-18개월 동안 지속되며 치유된 후에도 검게 변색된 피부에 반점이 남는다.",http://www.snuh.org/health/encyclo/view/6/2/7.do
MOLLUSCUM-CONTAGIOSUM,점염성 연속증,"바이러스에 의해 유발되는 다발성 구진을 말합니다.

연령 : 어린이들에게 흔하다.
생활습관 : 밀접한 피부 접촉, 혹은 감염된 사람과의 성접촉이 위험 요인이다.
성별, 유전 : 주요 위험 요인이 아니다.
#
전염성 연속종은 몸통과 팔, 다리에 구진이 나타나는 바이러스성 질환이다. 별다른 해는 없지만, 밀접한 피부 접촉으로 퍼질 수 있다.

아토피 피부염을 가진 어린이들에게 주로 발생한다. 이는 피부 병변을 긁어 바이러스가 잘 침투할 수 있기 때문이다(어린이 습진). 성인들은 대개 성접촉을 통해 퍼진다. 구진이 나타나는 부위는 하복부, 성기부, 대퇴부 등이다. 후천성 면역결핍 증후군 또는 면역억제제를 투여받을 경우처럼 면역 체계가 약할 경우 더욱 심하게 앓는다.","아토피 피부염을 가진 어린이들에게 주로 발생합니다. 이는 피부 병변을 긁어 바이러스가 잘 침투할 수 있기 때문입니다(어린이 습진). 성인들은 대개 성접촉을 통해 퍼집니다. #구진이 나타나는 부위는 하복부, 성기부, 대퇴부 등이다. 후천성 면역결핍 증후군 또는 면역억제제를 투여받을 경우처럼 면역 체계가 약할 경우 더욱 심하게 앓는다.","증상은 감염되고 2-8주 사이에 시작됩니다. 처음에는 하나의 가려운 구진이 나타난 후 점점 퍼져서 나중엔 무리를 이룹니다. 구진은 다음과 같은 특징이 있습니다.

* 대개 직경 3-4mm 정도이다.
* 표면이 매끄럽고 진주빛에서 하얀색 또는 분홍빛을 띤다.
* 중심부에서 함몰이 관찰되며 돔 모양으로 생겼다.#","어린이들의 경우, 치료를 하게 되면 약간의 흉터가 남게 되고 통증이 생기기 때문에 대개는 치료를 하지 않습니다. 보통 12개월 안에 저절로 사라집니다. 어른들은 미용상의 문제로 치료를 받습니다.
#
온몸으로 퍼지는 것을 막으려면 절대로 긁지 말아야 한다. 다른 사람에게 전염시키지 않으려면 밀접한 신체 접촉을 피하고 타월이나 수건을 함께 사용하지 않도록 한다. 다시 감염되거나 면역력이 약해진 경우에는 다시 재발할 수 있다.",http://www.snuh.org/health/encyclo/view/6/4/10.do
NAIL-ABNORMALITY,손발톱 이상,"손상과 감염이 동반된 질환에 의해 손·발톱의 모양, 색깔, 혹은 표면 상태가 변하는 것을 말합니다

연령, 성별, 유전, 생활습관 : 주요 위험 요인이 아니다.
#
손·발톱은 특히 손상되기 쉬운 곳이다. 손·발톱의 모양, 색깔, 표면 상태에 이상이 생기는 가장 흔한 이유는 외부에서 가해지는 자극이다. 또 전신의 건강상태나 감염도 원인이 될 수 있다.","손·발톱에 생기는 작은 흰 점은 저절로 생길 수도 있으며, 작은 손상에 의해 생길 수도 있습니다. 조갑 구만증으로 알려진 손·발톱의 비후는 진균 감염으로 일어날 수 있지만 아무런 이유 없이 생기는 경우도 있습니다. #노인에게 나타나는 것은 정상이다. 하지만 젊은이들 경우엔 류마티즘 관절염이나 편평 태선 혹은 습진이 원인으로 작용할 수 있다. 손·발톱이 움푹 파이는 것은 건선이나 습진 같은 피부병이 원인일 수 있다. 보통 건선이나 편평 태선 혹은 갑상선 질환이 있는 사람에게 발생한다. 이는 손톱바닥의 감염을 초래하며 박리된 손·발톱은 녹색으로 보인다. 이 현상은 진균 감염에 의해 나타나고 때때로 흡연자에게도 생긴다. 이는 낭포성 섬유증, 기관지확장증, 혹은 폐암 등의 심각한 질환을 암시하는 증거가 될 수 있다. 또한 간질환, 선천성 심장병, 갑상선질환, 크론병 등의 내장질환과 연관될 수 있다. 심각한 철 결핍과 동반된다.","손·발톱에 생기는 작은 흰 점은 저절로 생길 수도 있으며, 작은 손상에 의해 생길 수도 있습니다. 발톱에 좀더 많이 나타납니다. 함몰선은 손·발톱의 바닥으로부터 끝까지 생깁니다. #손·발톱이 움푹 파이는 것. 손톱이 손상되면 손톱바닥으로부터 떨어져나와 분리된다. 이 현상은 진균 감염에 의해 나타나고 때때로 흡연자에게도 생긴다. 손·발톱이 볼록해져 손가락 끝이 넓어지는 현상. 시상조갑이라 불리는 이 형태의 이상은 손·발톱이 오목해지고 스푼 모양을 띠게 된다.","손·발톱에 경미하게 생기는 이상 증세는 대부분 치료받을 필요가 없습니다. 그러나 특별한 손상 없이 손톱과 발톱의 색깔, 모양, 전반적인 상태가 변한다면 의사와 상담해야 합니다. 소아기부터 발생하는 손·발톱의 곤봉화 현상은 유전병이 원인인 것으로 보입니다. #이 곤봉화 현상은 비가역적이라 회복되지 않으며 검사가 필요없다.

그러나 일단 기저질환이 치료되면 손톱이 새롭게 자라면서 비정상 조직을 대체하게 된다. 이런 과정은 시간이 많이 소요된다. 비정상 손톱은 6-9개월 정도 자라는 시간이 필요하지만 발톱은 더 많은 시간이 소요된다. 이 기간 중 손상된 손·발톱은 정기적인 관리를 통해 상태를 유지할 수 있다.",http://www.snuh.org/health/encyclo/view/6/6/6.do
