intent,response,utter_link,utter_send_link,utter_ask_more,featureless
WHO_CANCEL, 해지하시는데 어느 부서가 해결해 줄 수 있는지 궁금하시군요 /  해지를 담당하는 부서를 찾고 계시는 군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 누구에게 물어봐야 해요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHAT_CANCEL, 해지하시는데 해당 서비스에 대한 정보가 뭔지 궁금하시군요 /  해지와 관련된 정보를 찾고 계시는군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 뭐가 필요하죠?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHERE_CANCEL, 해지하시는데 어디서 해결 할 수 있는지 궁금하시군요 /  해지를 어디서 할 수 있는 지 알고 싶으시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 어디서 할 수 있나요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHEN_CANCEL, 해지하시는데 해당 서비스 제공 시간을 알고 싶으시군요 /  해지가 가능한 시간을 알고 싶으시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 언제 가능한가요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHY_CANCEL, 해지하시는데 발생한 불편함에 대한 원인이 궁금하셨군요 /  해지 시 발생하는 문제의 원인을 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 왜 안되는지 이유를 알려주세요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
HOW_CANCEL, 해지하시는데 해당 서비스를 이용하는 방법에 대해 궁금하시군요 /  해지 방법에 대해 검색하셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 어떻게 해야하는지 궁금해요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-AGE_CANCEL, 해지하시는데 나이 제한 관련 정보가 궁금하시군요 /  해지 시 요구되는 나이 제한이 있는지 궁금하시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 연령 제한 관련 정보를 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-GEN_CANCEL," 해지하시는데 해당 서비스 관련 비용, 수수료, 이자를 알고 싶으시군요 /  해지 시 요구되는 비용을 알고 싶으셨군요",이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 발생하는 비용을 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
ERROR_CANCEL, 해지하시는데 문제가 있으시군요 /  해지하시는데 오류가 발생하셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하려고 하는데 오류가 발생합니다.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
REQUEST_CANCEL, 해지를 원하시는군요 /  해지를 요청하셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/cancel](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""청약을 해지하고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHO_APPLY, 신청하시는데 어느 부서가 해결해 줄 수 있는지 궁금하시군요 /  신청을 담당하는 부서를 찾고 계시는군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 누구에게 물어봐야 해요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHAT_APPLY, 신청하시는데 해당 서비스에 대해 궁금하시군요 /  신청과 관련된 정보를 찾고 계시는군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 뭐가 필요하죠?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHERE_APPLY, 신청하시는데 어디서 해결 할 수 있는지 궁금하시군요 /  신청할 수 있는 곳을 찾고 계시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 어디서 할 수 있나요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHEN_APPLY, 신청하시는데 해당 서비스 제공 시간이 궁금하시군요 /  신청이 가능한 시간이 궁금하시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 언제 가능한가요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHY_APPLY, 신청하시는데 해당 서비스 이용에 있어 발생한 불편함에 대한 원인이 궁금하셨군요 /  신청하실 때 발생한 오류의 원인을 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 왜 안되는지 이유를 알려주세요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
HOW_APPLY, 신청하시는데 해당 서비스를 이용하는 방법에 대해 문의해주셨군요 /  신청 방법을 찾고 계시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 어떻게 해야하는지 궁금해요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-AGE_APPLY, 신청하시는데 나이 제한 관련 정보가 궁금하시군요 /  신청 시 나이 제한을 질문해 주셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 연령 제한 관련 정보를 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-GEN_APPLY," 신청하시는데 발생하는 비용, 수수료, 이자를 알고 싶으시군요 /  신청 시 발생하는 비용이 궁금하셨군요",이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 발생하는 비용을 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
ERROR_APPLY, 신청하시는데 문제가 발생한 상황이군요 /  신청에 문제가 있으시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하려고 하는데 오류가 발생합니다.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
REQUEST_APPLY, 신청을 원하시는군요 /  신청을 요청해 주셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/apply](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""가맹점을 신청하고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHO_APPROVE, 승인 받으시는데 누구에게 물어야 할 지 궁금하시군요 /  승인을 담당하는 부서를 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 누구에게 물어봐야 해요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHAT_APPROVE, 승인 받으시는데 해당 서비스에 대한 정보가 궁금하시군요 /  승인과 관련된 정보를 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 뭐가 필요하죠?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHERE_APPROVE, 승인 받으시는데 어디서 할 수 있는지 궁금하시군요 /  승인이 가능한 곳을 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 어디서 할 수 있나요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHEN_APPROVE, 승인 받으시는데 해당 서비스 제공 시간이 궁금하시군요 /  승인 가능 시간이 궁금하시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 언제 가능한가요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHY_APPROVE, 승인 받으시는데 발생한 불편함에 대한 원인이 궁금하셨군요 /  승인 오류의 원인을 문의해주셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 왜 안되는지 이유를 알려주세요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
HOW_APPROVE, 승인 받으시는데 해당 서비스를 이용하는 방법에 대해 궁금하시군요 /  승인 방법을 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 어떻게 해야하는지 궁금해요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-AGE_APPROVE, 승인 받으시는데 나이 제한에 대해 궁금하시군요 /  승인 시 나이제한이 있는지 질문해주셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 연령 제한 관련 정보를 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-GEN_APPROVE," 승인 받으시는데 해당 서비스 관련 비용, 수수료, 이자를 알고 싶으시군요 /  승인에 발생하는 비용을 알고 싶으시군요",이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 발생하는 비용을 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
ERROR_APPROVE, 승인 받으시는데 문제가 있으시군요 /  승인에 문제가 발생하셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받으려고 하는데 오류가 발생합니다.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
REQUEST_APPROVE, 승인 받기를 원하시는군요 /  승인을 원하셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/approve](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""대출을 승인받고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHO_REFUSE, 수신거부하시려는데 누구에게 물어야 할 지 궁금하시군요 /  수신거부를 담당하는 부서를 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 누구에게 물어봐야 해요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHAT_REFUSE, 수신거부하시려는데 해당 서비스에 대한 정보 궁금하시군요 /  수신거부 관련 정보를 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 뭐가 필요하죠?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHERE_REFUSE, 수신거부하시려는데 어디서 할 수 있는지 궁금하시군요 /  수신 거부를 할 수 있는 곳을 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 어디서 할 수 있나요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHEN_REFUSE, 수신거부하시려는데 해당 서비스 제공 시간이 궁금하시군요 /  수신거부가 가능한 시간을 알고 싶으셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 언제 가능한가요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHY_REFUSE, 수신거부하시려는데 해당 서비스 이용에 있어 발생한 오류에 대한 이유가 궁금하셨군요 /  수신거부가 발생한 오류의 원인을 알고 싶으셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 왜 안되는지 이유를 알려주세요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
HOW_REFUSE, 수신거부하시려는데 해당 서비스를 어떻게 사용하는지에 대해 문의해주셨군요 /  수신 거부 방법을 문의해주셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 어떻게 해야하는지 궁금해요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-AGE_REFUSE, 수신거부하시려는데 연령 제한 관련 정보가 궁금하시군요 /  수신 거부와 관련한 나이 정보를 알고 싶으셨군요 ,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 연령 제한 관련 정보를 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-GEN_REFUSE," 수신거부하시려는데 발생하는 비용, 수수료, 이자에 대해 궁금하시군요 /  수신 거부에 발생하는 비용을 문의해주셨군요",이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 발생하는 비용을 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
ERROR_REFUSE, 수신거부하시려는데 어려움이 있으시군요 /  수신거부하실 때 오류가 발생하셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하려고 하는데 오류가 발생합니다.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
REQUEST_REFUSE, 수신거부를 원하시는군요 /  수신거부를 하고 싶으시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/refuse](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""알림문자를 수신거부하고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHO_SIGNIN, 가입하시는데 누가 해결해 줄 수 있는지 궁금하시군요 /  가입을 담당하는 부서 연결을 희망하시는군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/signin](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""계정을 새로 가입하려고 하는데 누구에게 물어봐야 해요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHAT_SIGNIN, 가입하시는데 해당 서비스에 대한 정보가 궁금하시군요 /  가입과 관련된 정보를 받고 싶으시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/signin](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""계정을 새로 가입하려고 하는데 뭐가 필요하죠?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHERE_SIGNIN, 가입하시는데 어디서 할 수 있는지 궁금하시군요 /  가입을 할 수 있는 곳을 알고 싶으셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/signin](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""계정을 새로 가입하려고 하는데 어디서 할 수 있나요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHEN_SIGNIN, 가입하시는데 해당 서비스 제공 시간을 알고 싶으시군요 /  가입 가능한 시간을 알고 싶으시군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/signin](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""계정을 새로 가입하려고 하는데 언제 가능한가요?""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
WHY_SIGNIN, 가입하시는데 발생한 오류에 대한 이유가 궁금하셨군요 /  가입에 발생한 오류의 원인을 찾고 계셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/signin](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""계정을 새로 가입하려고 하는데 왜 안되는지 이유를 알려주세요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
HOW_SIGNIN, 가입하시는데 해당 서비스를 이용하는 방법에 대해 궁금하시군요 /  가입 방법을 찾고 계시는군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/signin](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""계정을 새로 가입하려고 하는데 어떻게 해야하는지 궁금해요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
QTY-AGE_SIGNIN, 가입하시는데 나이 제한에 대해 궁금하시군요 /  가입 시 나이 제한을 문의해 주셨군요,이 경우에는 다음 링크를 따라가 보시면 도움이 되실 거예요,관련 정보 링크 가기 👉 [https://bank.co.kr/signin](http://dicora.kr),도움이 되셨나요? 다른 문제가 또 있으면 말씀해 주세요,"죄송합니다. ""계정을 새로 가입하려고 하는데 연령 제한 관련 정보를 알고 싶어요.""와 같이 구체적인 대상을 포함해서 말씀해 주시겠어요?"
